canonical_drug_id,drug_name,assay,match_type,similarity,predicted_label
1564,SCH772984,dili,no_match,0.23148148148148148,1
1564,SCH772984,half_life_obach,no_match,0.23770491803278687,2
1564,SCH772984,herg,no_match,0.25555555555555554,1
1564,SCH772984,hia_hou,no_match,0.23148148148148148,1
1564,SCH772984,ld50_zhu,no_match,0.24731182795698925,2
1564,SCH772984,lipophilicity_astrazeneca,no_match,0.3020833333333333,2
1564,SCH772984,pgp_broccatelli,no_match,0.25882352941176473,0
1564,SCH772984,ppbr_az,no_match,0.2631578947368421,94
1564,SCH772984,solubility_aqsoldb,no_match,0.23684210526315788,-1
1564,SCH772984,vdss_lombardo,no_match,0.25,5
1736,Selumetinib,ames,no_match,0.23376623376623376,0
1736,Selumetinib,bbb_martins,no_match,0.22772277227722773,1
1736,Selumetinib,bioavailability_ma,no_match,0.25,1
1736,Selumetinib,caco2_wang,no_match,0.23,-4
1736,Selumetinib,clearance_hepatocyte_az,no_match,0.25510204081632654,12
1736,Selumetinib,clearance_microsome_az,no_match,0.25510204081632654,27
1736,Selumetinib,cyp2c9_substrate_carbonmangels,no_match,0.23,1
1736,Selumetinib,cyp2c9_veith,no_match,0.2702702702702703,0
1736,Selumetinib,cyp2d6_substrate_carbonmangels,no_match,0.23,1
1736,Selumetinib,cyp2d6_veith,no_match,0.2702702702702703,0
1736,Selumetinib,cyp3a4_substrate_carbonmangels,no_match,0.23,1
1736,Selumetinib,cyp3a4_veith,no_match,0.2702702702702703,0
1736,Selumetinib,dili,no_match,0.25,1
1736,Selumetinib,half_life_obach,no_match,0.21428571428571427,34
1736,Selumetinib,herg,no_match,0.2376237623762376,1
1736,Selumetinib,hia_hou,no_match,0.23,1
1736,Selumetinib,ld50_zhu,no_match,0.25,2
1736,Selumetinib,lipophilicity_astrazeneca,no_match,0.2857142857142857,3
1736,Selumetinib,pgp_broccatelli,no_match,0.20833333333333334,1
1736,Selumetinib,ppbr_az,no_match,0.3020833333333333,60
1736,Selumetinib,solubility_aqsoldb,no_match,0.5135135135135135,-2
1736,Selumetinib,vdss_lombardo,no_match,0.21333333333333335,0
1079,Dasatinib,ames,no_match,0.313953488372093,0
1079,Dasatinib,bbb_martins,no_match,0.32926829268292684,1
1079,Dasatinib,bioavailability_ma,no_match,0.2804878048780488,1
