thyroid_selective_rank,drug_name,canonical_drug_id,canonical_smiles,target_genes,PATHWAY_NAME_NORMALIZED,classification,ranking_layer,thyroid_selective_score,ensemble_score,mean_pred_ln_ic50,thyroid_mean_ln_ic50,pancancer_mean_ln_ic50,selectivity_delta_ln_ic50,thyroid_sensitive_rate,thyroid_context_score,broad_cytotoxic_flag,broad_cytotoxic_penalty,thyroid_observed_cell_lines,pancancer_cell_lines,pancancer_tcga_types
221,Elesclomol,1031,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,HSP90,Protein stability and degradation,screened_candidate,broad_cytotoxic_downweighted,0.0012820512820512775,-2.2286452651023865,2.2286452651023865,0.40726150000000005,-1.7056351165919281,-2.1128966165919283,1.0,0.0,True,0.4,2,223,24
222,Lenalidomide,1020,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CDH5;CRBN;PTGS2;TNF;TNFSF11,Protein stability and degradation,indication_expansion,broad_cytotoxic_downweighted,0.0,-5.289722293615341,5.289722293615341,5.8064855,5.218702273311897,-0.5877832266881029,0.0,0.1,True,0.2,16,933,31
223,Alisertib,1051,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,AURKA,Mitosis,screened_candidate,broad_cytotoxic_downweighted,0.0,-2.376105435192585,2.376105435192585,2.6412220625,1.5721660428724546,-1.0690560196275452,0.75,0.0,True,0.4,16,933,31
224,Fludarabine,1813,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,ADA;ANTIMETABOLITE;DCK;POLA1;RRM1,DNA replication,indication_expansion,broad_cytotoxic_downweighted,0.0,-5.089184820652008,5.089184820652008,5.445464583333333,4.755619392907802,-0.6898451904255314,0.08333333333333333,0.1,True,0.2,12,705,30
225,Navitoclax,1011,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,BAD;BCL-W;BCL-XL;BCL2;BCL2L1;BCL2L2;CCND1,Apoptosis regulation,screened_candidate,broad_cytotoxic_downweighted,0.0,-2.9134224951267242,2.9134224951267242,2.6380623125,1.7231388548895898,-0.9149234576104099,0.875,0.0,True,0.4,16,951,31
226,PFI3,1620,O=C(C=CN1CC2CC1CN2c1ccccn1)c1ccccc1O,SMARCA2;SMARCA4,Chromatin other,screened_candidate,broad_cytotoxic_downweighted,0.0,-5.406570298331125,5.406570298331125,5.906422357142858,5.38003925,-0.5263831071428573,0.0,0.0,True,0.2,14,880,31
227,EPZ5676,1563,CC(C)N(CC1OC(n2cnc3c(N)ncnc32)C(O)C1O)C1CC(CCc2nc3ccc(C(C)(C)C)cc3[nH]2)C1,DOT1L,Chromatin histone methylation,screened_candidate,broad_cytotoxic_downweighted,0.0,-5.43352136015892,5.43352136015892,6.25459975,5.521478216701902,-0.7331215332980978,0.0,0.3,True,0.2,16,946,31
228,LCL161,1557,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1,BIRC2;BIRC3;BIRC5;BIRC7;IAP1;IAP2;NAIP;XIAP,Apoptosis regulation,screened_candidate,broad_cytotoxic_downweighted,0.0,-5.0062118257795065,5.0062118257795065,5.490311642857143,4.749923385665529,-0.740388257191614,0.0,0.0,True,0.2,14,879,31
229,ABT737,1910,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-],BCL-B;BCL-W;BCL-XL;BCL2;BFL1,Apoptosis regulation,screened_candidate,broad_cytotoxic_downweighted,0.0,-2.9191634953022003,2.9191634953022003,2.8741900625,1.8598110318809777,-1.0143790306190221,0.75,0.0,True,0.4,16,941,31
230,Nelarabine,1814,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,LIG1;POLA1;PRIM1;RRM1,DNA replication,screened_candidate,broad_cytotoxic_downweighted,0.0,-5.726336121559143,5.726336121559143,6.514742333333333,5.995335362215909,-0.5194069711174247,0.0,0.0,True,0.2,12,704,30
231,Temozolomide,1375,Cn1nnc2c(C(N)=O)ncn2c1=O,,DNA replication,indication_expansion,broad_cytotoxic_downweighted,0.0,-6.384374141693115,6.384374141693115,6.9148932499999995,6.246976511064278,-0.6679167389357215,0.0,0.1,True,0.2,16,949,31
232,AZD5991,1720,Cc1c2c(nn1C)CSCc1cc(n(C)n1)CSc1cc(c3ccccc3c1)OCCCc1c(C(=O)O)n(C)c3c-2c(Cl)ccc13,MCL1,Apoptosis regulation,screened_candidate,broad_cytotoxic_downweighted,0.0,-4.75258918242021,4.75258918242021,5.623747909090909,3.7163727421652424,-1.9073751669256667,0.0,0.0,True,0.2,11,702,30
233,UNC0638,2038,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,G9A;GLP,Chromatin histone methylation,screened_candidate,broad_cytotoxic_downweighted,0.0,-4.698697004999433,4.698697004999433,5.209997928571428,4.107875586350975,-1.1021223422204534,0.07142857142857142,0.3,True,0.2,14,718,30
234,Oxaliplatin,1806,O=C1O[Pt]2(<-N[C@@H]3CCCC[C@H]3N->2)OC1=O,,DNA replication,indication_expansion,broad_cytotoxic_downweighted,0.0,-4.985423902670543,4.985423902670543,5.81254925,4.918709170212766,-0.8938400797872337,0.08333333333333333,0.1,True,0.2,12,705,30
